2022 National Employment Matrix title,2022 National Employment Matrix code,Occupation type,"Employment, 2022","Employment, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Percent self employed, 2022","Occupational openings, 2022-32 annual average","Median annual wage, 2022(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Total, all occupations",00-0000,Summary,"164,482.60","169,148.10","4,665.50",2.8,6,"18,566.50","$46,310 ",,,
  Management occupations,11-0000,Summary,"12,574.70","13,257.70",683,5.4,15.8,"1,053.10","$107,360 ",,,
    Top executives,11-1000,Summary,"3,832.20","3,958.00",125.8,3.3,1.8,315,"$99,890 ",,,
      Chief executives,11-1011,Line item,280,257,-23,-8.2,21.2,15.3,"$189,520 ",Bachelor's degree,5 years or more,None
      General and operations managers,11-1021,Line item,"3,507.80","3,655.10",147.3,4.2,0.3,296.3,"$98,100 ",Bachelor's degree,5 years or more,None
      Legislators,11-1031,Line item,44.4,46,1.5,3.4,,3.4,"$48,090 ",Bachelor's degree,Less than 5 years,None
"    Advertising, marketing, promotions, public relations, and sales managers",Nov-00,Summary,"1,049.40","1,102.20",52.8,5,3.5,85,"$132,820 ",,,
      Advertising and promotions managers,11-Nov,Line item,30.9,31.4,0.6,1.9,27,2.8,"$127,830 ",Bachelor's degree,Less than 5 years,None
      Marketing and sales managers,20-Nov,Summary,912.9,959.1,46.2,5.1,2.9,74.4,"$133,880 ",,,
        Marketing managers,21-Nov,Line item,358.2,381.9,23.7,6.6,5.3,31.2,"$140,040 ",Bachelor's degree,5 years or more,None
        Sales managers,22-Nov,Line item,554.7,577.2,22.5,4,1.3,43.2,"$130,600 ",Bachelor's degree,Less than 5 years,None
      Public relations and fundraising managers,30-Nov,Summary,105.7,111.7,6,5.7,2.3,7.8,"$125,620 ",,,
        Public relations managers,Nov-32,Line item,72,76.3,4.3,5.9,2.3,5.4,"$129,430 ",Bachelor's degree,5 years or more,None
        Fundraising managers,Nov-33,Line item,33.7,35.4,1.7,5.1,2.1,2.5,"$107,390 ",Bachelor's degree,5 years or more,None
    Operations specialties managers,Nov-00,Summary,"2,455.50","2,722.60",267.1,10.9,1.6,205.5,"$130,950 ",,,
      Administrative services and facilities managers,10-Nov,Summary,377.8,397.7,19.9,5.3,0.4,31.4,"$101,870 ",,,
        Administrative services managers,12-Nov,Line item,250.8,264.9,14,5.6,,21.1,"$103,330 ",Bachelor's degree,Less than 5 years,None
        Facilities managers,13-Nov,Line item,127,132.8,5.8,4.6,1.2,10.3,"$99,030 ",Bachelor's degree,Less than 5 years,None
      Computer and information systems managers,21-Nov,Line item,557.4,643.3,86,15.4,1.2,46.9,"$164,070 ",Bachelor's degree,5 years or more,None
      Financial managers,Nov-31,Line item,792.6,919.2,126.6,16,2.5,69.6,"$139,790 ",Bachelor's degree,5 years or more,None
      Industrial production managers,Nov-51,Line item,222.1,225.7,3.6,1.6,2.3,15.3,"$107,560 ",Bachelor's degree,5 years or more,None
      Purchasing managers,Nov-61,Line item,77.5,80.9,3.4,4.4,1.7,6.1,"$131,350 ",Bachelor's degree,5 years or more,None
"      Transportation, storage, and distribution managers",Nov-71,Line item,177.7,192.3,14.6,8.2,1.9,15.9,"$98,560 ",High school diploma or equivalent,5 years or more,None
      Compensation and benefits managers,11-Nov,Line item,17.5,17.8,0.4,2.2,,1.1,"$131,280 ",Bachelor's degree,5 years or more,None
      Human resources managers,21-Nov,Line item,191.6,201.6,10,5.2,1.4,15.5,"$130,000 ",Bachelor's degree,5 years or more,None
      Training and development managers,Nov-31,Line item,41.3,44,2.7,6.5,,3.5,"$120,000 ",Bachelor's degree,5 years or more,None
    Other management occupations,Nov-00,Summary,"5,237.50","5,474.90",237.4,4.5,35.1,447.6,"$99,740 ",,,
"      Farmers, ranchers, and other agricultural managers",13-Nov,Line item,922.9,880.6,-42.3,-4.6,67.2,88.8,"$75,760 ",High school diploma or equivalent,5 years or more,None
      Construction managers,21-Nov,Line item,505.8,528.7,22.9,4.5,39.3,38.7,"$101,480 ",Bachelor's degree,None,Moderate-term on-the-job training
      Education and childcare administrators,30-Nov,Summary,651,661.4,10.3,1.6,2.9,44.1,"$97,920 ",,,
"        Education and childcare administrators, preschool and daycare",Nov-31,Line item,74.8,72.6,-2.2,-3,6.8,4.6,"$49,690 ",Bachelor's degree,Less than 5 years,None
"        Education administrators, kindergarten through secondary",Nov-32,Line item,300.4,303.7,3.3,1.1,1.5,20.2,"$101,320 ",Master's degree,5 years or more,None
"        Education administrators, postsecondary",Nov-33,Line item,218.2,225.9,7.7,3.5,2.9,15.3,"$99,940 ",Master's degree,Less than 5 years,None
"        Education administrators, all other",Nov-39,Line item,57.6,59.2,1.6,2.8,4.8,4,"$89,130 ",Bachelor's degree,Less than 5 years,None
      Architectural and engineering managers,Nov-41,Line item,201.5,209.7,8.2,4.1,0.2,13.6,"$159,920 ",Bachelor's degree,5 years or more,None
      Food service managers,Nov-51,Line item,357.5,359.2,1.6,0.5,33.4,39.6,"$61,310 ",High school diploma or equivalent,Less than 5 years,Short-term on-the-job training
      Entertainment and recreation managers,Nov-70,Summary,31.7,34.1,2.3,7.3,7.4,3.7,"$71,420 ",,,
        Gambling managers,Nov-71,Line item,5.3,5.4,0.1,2.6,6.5,0.6,"$80,710 ",High school diploma or equivalent,Less than 5 years,None
"        Entertainment and recreation managers, except gambling",Nov-72,Line item,26.4,28.6,2.2,8.3,7.6,3.1,"$67,220 ",Bachelor's degree,Less than 5 years,None
      Lodging managers,Nov-81,Line item,50.8,54.2,3.4,6.7,17.1,5.4,"$61,910 ",High school diploma or equivalent,Less than 5 years,None
      Medical and health services managers,11-Nov,Line item,509.5,654.2,144.7,28.4,3.5,54.7,"$104,830 ",Bachelor's degree,Less than 5 years,None
      Natural sciences managers,21-Nov,Line item,86.3,90.5,4.2,4.8,,6.5,"$144,440 ",Bachelor's degree,5 years or more,None
      Postmasters and mail superintendents,Nov-31,Line item,13,12.1,-0.9,-6.7,,0.8,"$82,760 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"      Property, real estate, and community association managers",Nov-41,Line item,429.6,453,23.4,5.4,37.5,35.9,"$60,670 ",High school diploma or equivalent,Less than 5 years,Short-term on-the-job training
      Social and community service managers,Nov-51,Line item,178.4,194.6,16.2,9.1,4.7,16,"$74,240 ",Bachelor's degree,Less than 5 years,None
      Emergency management directors,Nov-61,Line item,11.8,12.2,0.4,3.3,,0.9,"$79,180 ",Bachelor's degree,5 years or more,None
      Personal service managers,Nov-70,Summary,59.4,61.2,1.8,3,60.1,4.5,"$62,120 ",,,
        Funeral home managers,Nov-71,Line item,36.4,37.2,0.8,2.2,60.9,2.7,"$72,110 ",Associate's degree,Less than 5 years,None
"        Personal service managers, all other",Nov-79,Line item,23.1,24.1,1,4.3,58.7,1.8,"$56,090 ",High school diploma or equivalent,Less than 5 years,None
"      Managers, all other",Nov-99,Line item,"1,228.30","1,269.40",41,3.3,52.5,94.4,"$128,620 ",Bachelor's degree,Less than 5 years,None
  Business and financial operations occupations,13-0000,Summary,"10,591.10","11,179.70",588.6,5.6,4.2,911.4,"$76,850 ",,,
    Business operations specialists,13-1000,Summary,"7,267.50","7,683.50",415.9,5.7,3.7,648.2,"$76,050 ",,,
"      Agents and business managers of artists, performers, and athletes",13-1011,Line item,19.9,21.5,1.6,8.2,33.1,2.1,"$82,530 ",Bachelor's degree,Less than 5 years,None
      Buyers and purchasing agents,13-1020,Line item,494.4,456.3,-38,-7.7,3.4,39,"$67,620 ",Bachelor's degree,None,Moderate-term on-the-job training
"      Claims adjusters, appraisers, examiners, and investigators",13-1030,Summary,342.6,331.9,-10.7,-3.1,1.2,21.5,"$72,040 ",,,
"        Claims adjusters, examiners, and investigators",13-1031,Line item,329,318.7,-10.3,-3.1,1.2,20.6,"$72,230 ",High school diploma or equivalent,None,Long-term on-the-job training
"        Insurance appraisers, auto damage",13-1032,Line item,13.6,13.3,-0.4,-2.6,1.4,0.9,"$69,380 ",Postsecondary nondegree award,None,Moderate-term on-the-job training
      Compliance officers,13-1041,Line item,377.5,394.7,17.2,4.6,0,31,"$71,690 ",Bachelor's degree,None,Moderate-term on-the-job training
      Cost estimators,13-1051,Line item,231.4,224.9,-6.5,-2.8,1.2,18,"$71,200 ",Bachelor's degree,None,Moderate-term on-the-job training
      Human resources workers,13-1070,Summary,940.7,991.6,51,5.4,1.3,84.1,"$65,000 ",,,
        Human resources specialists,13-1071,Line item,874.5,925.9,51.4,5.9,1.3,78.7,"$64,240 ",Bachelor's degree,None,None
        Farm labor contractors,13-1074,Line item,1.6,1.7,0.1,7.4,,0.2,"$49,330 ",No formal educational credential,Less than 5 years,Short-term on-the-job training
        Labor relations specialists,13-1075,Line item,64.6,64,-0.5,-0.8,1.4,5.2,"$82,010 ",Bachelor's degree,Less than 5 years,None
      Logisticians and project management specialists,13-1080,Summary,"1,090.00","1,182.90",93,8.5,0.7,89.9,"$88,050 ",,,
        Logisticians,13-1081,Line item,208.7,246.9,38.3,18.3,0.6,21.8,"$77,520 ",Bachelor's degree,None,None
        Project management specialists,13-1082,Line item,881.3,936,54.7,6.2,0.8,68.1,"$95,370 ",Bachelor's degree,None,None
      Management analysts,13-1111,Line item,987.6,"1,083.30",95.7,9.7,14.3,92.9,"$95,290 ",Bachelor's degree,Less than 5 years,None
"      Meeting, convention, and event planners",13-1121,Line item,132,141.9,9.9,7.5,3.5,15.2,"$52,560 ",Bachelor's degree,None,None
      Fundraisers,13-1131,Line item,124,130.5,6.5,5.2,2.1,9.9,"$61,190 ",Bachelor's degree,None,None
"      Compensation, benefits, and job analysis specialists",13-1141,Line item,98.2,105.1,6.9,7,,7.7,"$67,780 ",Bachelor's degree,Less than 5 years,None
      Training and development specialists,13-1151,Line item,385.8,409.9,24.2,6.3,0.8,35.4,"$63,080 ",Bachelor's degree,Less than 5 years,None
      Market research analysts and marketing specialists,13-1161,Line item,868.6,985.2,116.6,13.4,4.6,94.6,"$68,230 ",Bachelor's degree,None,None
"      Business operations specialists, all other",13-1199,Line item,"1,174.80","1,223.60",48.7,4.1,2.3,107,"$75,990 ",Bachelor's degree,None,None
    Financial specialists,13-2000,Summary,"3,323.60","3,496.20",172.7,5.2,5.2,263.2,"$78,180 ",,,
      Accountants and auditors,13-2011,Line item,"1,538.40","1,605.80",67.4,4.4,4.2,126.5,"$78,000 ",Bachelor's degree,None,None
      Property appraisers and assessors,13-2020,Line item,77.6,81.1,3.6,4.6,20,6.9,"$61,560 ",Bachelor's degree,None,Long-term on-the-job training
      Budget analysts,13-2031,Line item,51.6,53.3,1.7,3.3,,3.6,"$82,260 ",Bachelor's degree,None,None
      Credit analysts,13-2041,Line item,73,69.9,-3.2,-4.3,0.4,4.6,"$78,850 ",Bachelor's degree,None,None
      Financial analysts and advisors,13-2050,Summary,829.1,897.1,68,8.2,7.4,61.3,"$90,680 ",,,
        Financial and investment analysts,13-2051,Line item,317.2,341.4,24.2,7.6,5.6,23,"$95,080 ",Bachelor's degree,None,None
        Personal financial advisors,13-2052,Line item,327.6,369.6,42,12.8,12.2,25.6,"$95,390 ",Bachelor's degree,None,Long-term on-the-job training
        Insurance underwriters,13-2053,Line item,125.5,122.4,-3,-2.4,1.6,8.2,"$76,230 ",Bachelor's degree,None,Moderate-term on-the-job training
        Financial risk specialists,13-2054,Line item,58.9,63.7,4.8,8.2,2.2,4.4,"$102,120 ",Bachelor's degree,None,None
      Financial examiners,13-2061,Line item,65.6,78.5,12.8,19.5,,6.3,"$82,210 ",Bachelor's degree,None,Long-term on-the-job training
      Credit counselors and loan officers,13-2070,Summary,387.7,399.8,12.2,3.1,1.5,27.7,"$63,650 ",,,
        Credit counselors,13-2071,Line item,32.8,34.6,1.8,5.4,1.1,2.4,"$47,320 ",Bachelor's degree,None,Moderate-term on-the-job training
        Loan officers,13-2072,Line item,354.8,365.3,10.4,2.9,1.6,25.3,"$65,740 ",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
"      Tax examiners, collectors and preparers, and revenue agents",13-2080,Summary,164.6,166.5,1.9,1.2,14.5,16.5,"$51,830 ",,,
"        Tax examiners and collectors, and revenue agents",13-2081,Line item,55,55.4,0.3,0.6,2,4.1,"$57,950 ",Bachelor's degree,None,Moderate-term on-the-job training
        Tax preparers,13-2082,Line item,109.5,111.1,1.6,1.5,20.8,12.4,"$48,250 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Financial specialists, all other",13-2099,Line item,136,144.2,8.3,6.1,1.6,9.9,"$73,810 ",Bachelor's degree,None,None
  Computer and mathematical occupations,15-0000,Summary,"5,277.60","6,081.40",803.8,15.2,2.1,411,"$100,440 ",,,
    Computer occupations,15-1200,Summary,"4,929.10","5,631.00",701.9,14.2,2.2,377.5,"$100,530 ",,,
      Computer and information analysts,15-1210,Summary,700.3,804.7,104.4,14.9,1.8,54.3,"$104,230 ",,,
        Computer systems analysts,15-1211,Line item,531.4,582.6,51.1,9.6,2.2,37.6,"$102,240 ",Bachelor's degree,None,None
        Information security analysts,15-1212,Line item,168.9,222.2,53.2,31.5,0.5,16.8,"$112,000 ",Bachelor's degree,Less than 5 years,None
      Computer and information research scientists,15-1221,Line item,36.5,44.8,8.3,22.7,,3.4,"$136,620 ",Master's degree,None,None
      Computer support specialists,15-1230,Summary,914.1,963.3,49.2,5.4,2,66.5,"$59,660 ",,,
        Computer network support specialists,15-1231,Line item,177.9,190.4,12.5,7,1.9,13.3,"$68,050 ",Associate's degree,None,Moderate-term on-the-job training
        Computer user support specialists,15-1232,Line item,736.2,772.9,36.8,5,2,53.2,"$57,890 ","Some college, no degree",None,Moderate-term on-the-job training
      Database and network administrators and architects,15-1240,Summary,669.4,696.4,27,4,0.4,40.2,"$103,270 ",,,
        Computer network architects,15-1241,Line item,180.2,186.6,6.3,3.5,1.4,10.2,"$126,900 ",Bachelor's degree,5 years or more,None
        Database administrators,15-1242,Line item,85.2,91.2,6,7,,5.7,"$99,890 ",Bachelor's degree,None,None
        Database architects,15-1243,Line item,64,70.4,6.4,10,,4.5,"$134,870 ",Bachelor's degree,Less than 5 years,None
        Network and computer systems administrators,15-1244,Line item,339.9,348.2,8.3,2.5,,19.8,"$90,520 ",Bachelor's degree,None,None
"      Software and web developers, programmers, and testers",15-1250,Summary,"2,159.40","2,628.60",469.2,21.7,2.7,179.5,"$114,190 ",,,
        Computer programmers,15-1251,Line item,147.4,130.8,-16.6,-11.2,7.1,6.7,"$97,800 ",Bachelor's degree,None,None
        Software developers,15-1252,Line item,"1,594.50","2,004.90",410.4,25.7,1.6,136.3,"$127,260 ",Bachelor's degree,None,None
        Software quality assurance analysts and testers,15-1253,Line item,200.8,241.6,40.8,20.3,,17.5,"$99,620 ",Bachelor's degree,None,None
        Web developers,15-1254,Line item,98.8,115.5,16.7,17,6.6,8.3,"$78,580 ",Bachelor's degree,None,None
        Web and digital interface designers,15-1255,Line item,117.9,135.8,17.9,15.2,13.1,10.7,"$83,240 ",Bachelor's degree,None,None
"      Computer occupations, all other",15-1299,Line item,449.4,493.1,43.8,9.7,3.2,33.5,"$98,740 ",Bachelor's degree,None,None
    Mathematical science occupations,15-2000,Summary,348.5,450.4,101.9,29.2,0.7,33.5,"$99,590 ",,,
      Actuaries,15-2011,Line item,30,36.9,7,23.2,,2.3,"$113,990 ",Bachelor's degree,None,Long-term on-the-job training
      Mathematicians,15-2021,Line item,2.3,2.3,0.1,2.2,,0.1,"$112,110 ",Master's degree,None,None
      Operations research analysts,15-2031,Line item,109.9,134.7,24.7,22.5,0.3,9.8,"$85,720 ",Bachelor's degree,None,None
      Statisticians,15-2041,Line item,33.3,43.9,10.5,31.6,0.8,3.3,"$98,920 ",Master's degree,None,None
      Data scientists,15-2051,Line item,168.9,228.2,59.4,35.2,1.1,17.7,"$103,500 ",Bachelor's degree,None,None
"      Mathematical science occupations, all other",15-2099,Line item,4.1,4.4,0.3,6.2,,0.3,"$71,700 ",Bachelor's degree,None,None
  Architecture and engineering occupations,17-0000,Summary,"2,611.80","2,746.80",134.9,5.2,2.8,188,"$83,700 ",,,
"    Architects, surveyors, and cartographers",17-1000,Summary,212.2,221.3,9.2,4.3,11.1,14.5,"$79,000 ",,,
"      Architects, except naval",17-1010,Summary,147.3,153.5,6.2,4.2,14.2,10,"$81,640 ",,,
"        Architects, except landscape and naval",17-1011,Line item,123.7,129.7,6,4.8,12.6,8.2,"$82,840 ",Bachelor's degree,None,Internship/residency
        Landscape architects,17-1012,Line item,23.6,23.8,0.2,0.7,23,1.8,"$73,210 ",Bachelor's degree,None,Internship/residency
"      Surveyors, cartographers, and photogrammetrists",17-1020,Summary,64.8,67.8,3,4.7,4.1,4.4,"$64,710 ",,,
        Cartographers and photogrammetrists,17-1021,Line item,14,14.7,0.7,5,2.8,1,"$71,890 ",Bachelor's degree,None,None
        Surveyors,17-1022,Line item,50.8,53.1,2.3,4.6,4.5,3.5,"$63,080 ",Bachelor's degree,None,Internship/residency
    Engineers,17-2000,Summary,"1,736.10","1,856.60",120.5,6.9,2,111.4,"$100,030 ",,,
      Aerospace engineers,17-2011,Line item,63.8,67.7,3.9,6.1,,3.8,"$126,880 ",Bachelor's degree,None,None
      Agricultural engineers,17-2021,Line item,1.6,1.7,0.1,6.3,,0.1,"$83,260 ",Bachelor's degree,None,None
      Bioengineers and biomedical engineers,17-2031,Line item,19.7,20.7,1,5.1,,1.2,"$99,550 ",Bachelor's degree,None,None
      Chemical engineers,17-2041,Line item,20.8,22.5,1.7,8.1,,1.3,"$106,260 ",Bachelor's degree,None,None
      Civil engineers,17-2051,Line item,326.3,342.5,16.2,5,3.5,21.2,"$89,940 ",Bachelor's degree,None,None
      Computer hardware engineers,17-2061,Line item,78.1,81.6,3.6,4.6,1.9,4.6,"$132,360 ",Bachelor's degree,None,None
      Electrical and electronics engineers,17-2070,Summary,299.7,315.5,15.8,5.3,1.7,17.8,"$104,610 ",,,
        Electrical engineers,17-2071,Line item,188.8,196.6,7.9,4.2,1.7,11,"$103,320 ",Bachelor's degree,None,None
"        Electronics engineers, except computer",17-2072,Line item,110.9,118.9,7.9,7.2,1.6,6.9,"$108,170 ",Bachelor's degree,None,None
      Environmental engineers,17-2081,Line item,47.3,50.2,2.9,6.1,1.4,3.4,"$96,530 ",Bachelor's degree,None,None
"      Industrial engineers, including health and safety",17-2110,Summary,349.3,388.5,39.2,11.2,0,24.1,"$96,590 ",,,
"        Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,22,22.8,0.8,3.7,,1.3,"$100,660 ",Bachelor's degree,None,None
        Industrial engineers,17-2112,Line item,327.3,365.7,38.4,11.7,0,22.8,"$96,350 ",Bachelor's degree,None,None
      Marine engineers and naval architects,17-2121,Line item,8,8.1,0.1,0.7,4.5,0.4,"$96,910 ",Bachelor's degree,None,None
      Materials engineers,17-2131,Line item,22.3,23.5,1.1,5.1,1.2,1.5,"$100,140 ",Bachelor's degree,None,None
      Mechanical engineers,17-2141,Line item,286.1,314.7,28.5,10,1,19.2,"$96,310 ",Bachelor's degree,None,None
"      Mining and geological engineers, including mining safety engineers",17-2151,Line item,7.5,7.6,0,0.3,,0.4,"$97,490 ",Bachelor's degree,None,None
      Nuclear engineers,17-2161,Line item,13.8,13.9,0.1,1.1,7.4,0.8,"$122,480 ",Bachelor's degree,None,None
      Petroleum engineers,17-2171,Line item,21.4,21.9,0.5,2.5,,1.2,"$131,800 ",Bachelor's degree,None,None
"      Engineers, all other",17-2199,Line item,170.3,176,5.7,3.3,7,10.4,"$104,600 ",Bachelor's degree,None,None
"    Drafters, engineering technicians, and mapping technicians",17-3000,Summary,663.6,668.8,5.2,0.8,2.2,62.1,"$61,090 ",,,
      Drafters,17-3010,Summary,197.3,193,-4.3,-2.2,1.5,16.6,"$60,400 ",,,
        Architectural and civil drafters,17-3011,Line item,107.1,107.7,0.6,0.6,0.2,10,"$59,820 ",Associate's degree,None,None
        Electrical and electronics drafters,17-3012,Line item,21.8,22,0.2,0.9,2.9,1.8,"$64,240 ",Associate's degree,None,None
        Mechanical drafters,17-3013,Line item,49.6,46,-3.6,-7.2,3,3.5,"$61,310 ",Associate's degree,None,None
"        Drafters, all other",17-3019,Line item,18.7,17.3,-1.5,-7.8,2.9,1.3,"$57,640 ",Associate's degree,None,None
"      Engineering technologists and technicians, except drafters",17-3020,Summary,402.1,409.5,7.3,1.8,1.4,37.8,"$62,530 ",,,
        Aerospace engineering and operations technologists and technicians,17-3021,Line item,10.2,11,0.8,8.3,1.7,1,"$74,410 ",Associate's degree,None,None
        Civil engineering technologists and technicians,17-3022,Line item,64.8,65.4,0.6,0.9,1,5.9,"$59,630 ",Associate's degree,None,None
        Electrical and electronic engineering technologists and technicians,17-3023,Line item,102.5,103.3,0.8,0.8,1.1,9.9,"$66,390 ",Associate's degree,None,None
        Electro-mechanical and mechatronics technologists and technicians,17-3024,Line item,15.2,14.8,-0.4,-2.7,1.7,1.3,"$60,570 ",Associate's degree,None,None
        Environmental engineering technologists and technicians,17-3025,Line item,13.9,14.1,0.2,1.3,1.5,1.3,"$50,980 ",Associate's degree,None,None
        Industrial engineering technologists and technicians,17-3026,Line item,69.1,71.3,2.2,3.2,1.7,6.5,"$61,210 ",Associate's degree,None,None
        Mechanical engineering technologists and technicians,17-3027,Line item,41.1,41.4,0.3,0.6,1.7,3.7,"$61,990 ",Associate's degree,None,None
        Calibration technologists and technicians,17-3028,Line item,11.3,11.8,0.5,4.4,1.7,1.1,"$62,050 ",Associate's degree,None,None
"        Engineering technologists and technicians, except drafters, all other",17-3029,Line item,74.1,76.4,2.3,3.1,1.3,7,"$65,520 ",Associate's degree,None,None
      Surveying and mapping technicians,17-3031,Line item,64.2,66.3,2.1,3.3,10.1,7.8,"$47,180 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"  Life, physical, and social science occupations",19-0000,Summary,"1,473.70","1,563.20",89.5,6.1,5.2,136.8,"$74,330 ",,,
    Life scientists,19-1000,Summary,344.4,368.8,24.5,7.1,1,25.4,"$83,060 ",,,
      Agricultural and food scientists,19-1010,Summary,35.4,37.5,2.1,6,1.6,3,"$74,940 ",,,
        Animal scientists,19-1011,Line item,2.8,2.9,0.2,5.7,,0.2,"$69,390 ",Bachelor's degree,None,None
        Food scientists and technologists,19-1012,Line item,15.3,16.5,1.1,7.5,1.9,1.3,"$79,860 ",Bachelor's degree,None,None
        Soil and plant scientists,19-1013,Line item,17.2,18.1,0.8,4.7,1.4,1.4,"$65,730 ",Bachelor's degree,None,None
      Biological scientists,19-1020,Summary,135,141.3,6.3,4.7,1.2,10.6,"$86,000 ",,,
        Biochemists and biophysicists,19-1021,Line item,34.5,36.8,2.3,6.7,1.7,2.8,"$103,810 ",Doctoral or professional degree,None,None
        Microbiologists,19-1022,Line item,20.9,22,1.1,5.2,1.3,1.7,"$81,990 ",Bachelor's degree,None,None
        Zoologists and wildlife biologists,19-1023,Line item,19.1,19.7,0.6,3,0.5,1.5,"$67,430 ",Bachelor's degree,None,None
"        Biological scientists, all other",19-1029,Line item,60.4,62.7,2.3,3.9,1,4.7,"$87,300 ",Bachelor's degree,None,None
      Conservation scientists and foresters,19-1030,Summary,36,37.3,1.3,3.5,0.7,3,"$64,420 ",,,
        Conservation scientists,19-1031,Line item,24.7,25.7,1,4.1,0.6,2.1,"$64,460 ",Bachelor's degree,None,None
        Foresters,19-1032,Line item,11.3,11.6,0.3,2.4,0.9,0.9,"$64,220 ",Bachelor's degree,None,None
      Medical scientists,19-1040,Summary,129.1,143.4,14.3,11.1,0.9,8.3,"$97,210 ",,,
        Epidemiologists,19-1041,Line item,10,12.7,2.7,26.7,,0.8,"$78,520 ",Master's degree,None,None
"        Medical scientists, except epidemiologists",19-1042,Line item,119,130.7,11.6,9.8,0.9,7.5,"$99,930 ",Doctoral or professional degree,None,None
"      Life scientists, all other",19-1099,Line item,9,9.4,0.5,5.2,0.8,0.5,"$83,930 ",Bachelor's degree,None,None
    Physical scientists,19-2000,Summary,267.8,282.1,14.2,5.3,1.9,21,"$83,760 ",,,
      Astronomers and physicists,19-2010,Summary,23.6,24.7,1.1,4.7,5.1,1.5,"$139,220 ",,,
        Astronomers,19-2011,Line item,2.4,2.6,0.1,4.6,4.2,0.2,"$128,330 ",Doctoral or professional degree,None,None
        Physicists,19-2012,Line item,21.1,22.1,1,4.7,5.2,1.4,"$142,850 ",Doctoral or professional degree,None,None
      Atmospheric and space scientists,19-2021,Line item,10.5,11,0.5,4.4,,0.9,"$83,780 ",Bachelor's degree,None,None
      Chemists and materials scientists,19-2030,Summary,95,100.8,5.8,6.1,,7.2,"$81,810 ",,,
        Chemists,19-2031,Line item,87.1,92.5,5.4,6.2,,6.6,"$80,670 ",Bachelor's degree,None,None
        Materials scientists,19-2032,Line item,7.9,8.3,0.4,5.1,,0.6,"$104,380 ",Bachelor's degree,None,None
      Environmental scientists and geoscientists,19-2040,Summary,113.3,119.6,6.3,5.6,0.1,9.6,"$78,730 ",,,
"        Environmental scientists and specialists, including health",19-2041,Line item,80.5,85.3,4.9,6.1,,6.9,"$76,480 ",Bachelor's degree,None,None
"        Geoscientists, except hydrologists and geographers",19-2042,Line item,26.3,27.6,1.3,5.1,0.3,2.2,"$87,480 ",Bachelor's degree,None,None
        Hydrologists,19-2043,Line item,6.6,6.7,0.1,1.5,,0.5,"$85,990 ",Bachelor's degree,None,None
"      Physical scientists, all other",19-2099,Line item,25.4,25.9,0.5,2.1,15.3,1.7,"$107,970 ",Bachelor's degree,None,None
    Social scientists and related workers,19-3000,Summary,326.1,342.1,16,4.9,18.4,23.3,"$84,000 ",,,
      Economists,19-3011,Line item,17.6,18.7,1.1,6.3,1.4,1.2,"$113,940 ",Master's degree,None,None
      Survey researchers,19-3022,Line item,8.8,8.4,-0.3,-3.8,2.3,0.7,"$60,410 ",Master's degree,None,None
      Psychologists,19-3030,Summary,196,208,12,6.1,28.3,12.8,"$85,330 ",,,
        Industrial-organizational psychologists,19-3032,Line item,10.1,10.6,0.6,5.9,86.3,0.7,"$139,280 ",Master's degree,None,Internship/residency
        Clinical and counseling psychologists,19-3033,Line item,67.5,75.2,7.7,11.4,5.6,4.1,"$90,130 ",Doctoral or professional degree,None,Internship/residency
        School psychologists,19-3034,Line item,62.2,63,0.8,1.3,2.7,4.1,"$81,500 ",Master's degree,None,Internship/residency
"        Psychologists, all other",19-3039,Line item,56.3,59.1,2.9,5.1,73.6,3.9,"$106,420 ",Master's degree,None,Internship/residency
      Sociologists,19-3041,Line item,3.3,3.4,0.1,4.5,1.7,0.3,"$98,590 ",Master's degree,None,None
      Urban and regional planners,19-3051,Line item,44.7,46.4,1.7,3.7,7.6,3.7,"$79,540 ",Master's degree,None,None
      Miscellaneous social scientists and related workers,19-3090,Summary,55.7,57.2,1.5,2.7,0.8,4.7,"$86,070 ",,,
        Anthropologists and archeologists,19-3091,Line item,8,8.3,0.3,4.2,1.8,0.7,"$63,940 ",Master's degree,None,None
        Geographers,19-3092,Line item,1.5,1.5,0,1.1,,0.1,"$88,900 ",Bachelor's degree,None,None
        Historians,19-3093,Line item,3.5,3.6,0.1,3.1,,0.3,"$64,540 ",Master's degree,None,None
        Political scientists,19-3094,Line item,6.2,6.6,0.4,6.6,,0.6,"$128,020 ",Master's degree,None,None
"        Social scientists and related workers, all other",19-3099,Line item,36.5,37.2,0.6,1.7,0.6,3,"$88,900 ",Bachelor's degree,None,None
"    Life, physical, and social science technicians",19-4000,Summary,397,414.1,17.1,4.3,1.8,49.9,"$49,790 ",,,
      Agricultural and food science technicians,19-4010,Summary,38.8,40.7,1.9,4.9,3.1,5.5,"$46,140 ",,,
        Agricultural technicians,19-4012,Line item,17.6,18.4,0.8,4.5,2.8,2.5,"$41,760 ",Associate's degree,None,Moderate-term on-the-job training
